date,equity,cash,last_equity
2026-06-01,99968.39,-8.94,99908.5100162353
2026-06-02,101709.14,-9.01,100070.33321590885
2026-06-03,102753.7,-9.01,100070.33321590885
2026-06-04,100980.46,-9.01,104702.36683010978
2026-06-05,91218.84,-9.01,101920.97580622313
2026-06-08,95574.59,-3.8,92272.58815871258
2026-06-09,92709.08,-3.83,96206.67665788934
2026-06-10,88377.85,-3.83,93779.36314650696
2026-06-11,99821.98,-3.83,90346.87149862917
2026-06-12,102943.67,-3.83,99264.63200172374
2026-06-15,109400.01,9.59,102530.62648197285
